active_account,delinquent_account,ident_monitor_opt,Num_Bk_Accts,income,bk_accts_ssn,cells_ssn,dls_ssn,emails_ssn,hmphones_ssn,addrs_ssn,ssn_ssn,zips_ssn,empl_ssn_6Mo,pday_inq_15days,dti_score,days_from_registration,days_from_login,asset_score,alt_risk_score,seg_id,stability_score,max_bkaccts,auto_inq_1dy,auto_inq_7dy,auto_inq_72hr,cc_inq_72hr,cc_inq_10dy,pl_inq_72hr,pl_inq_90dy,alt_risk_score_2
1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,NaN,60000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,2104,40,26,551,5,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,NaN,51584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,3668,1,85,548,6,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,NaN,9600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,648,12,110,542,5,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,NaN,25400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3519,8,586,586,5,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,NaN,38400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,888,26,74,578,5,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,NaN,47000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,831,8,105,532,6,NaN,NaN,0,0,NaN,NaN,1,NaN,NaN,NaN
1,0,0,NaN,49100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,50,8,59,517,6,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,NaN
1,1,0,9,66000,5,1,1,1,1,2,1,2,3,3,38,4075,12,70,535,5,684,2,NaN,0,NaN,NaN,0,NaN,0,417
1,0,0,2,65000,1,1,1,1,1,1,1,1,1,0,34,2633,2,37,602,8,937,1,NaN,NaN,NaN,NaN,0,NaN,NaN,529
1,1,0,1,42000,1,1,1,1,1,1,1,1,0,0,3,3441,18,21,556,6,951,1,NaN,NaN,NaN,NaN,0,NaN,0,494
1,0,0,4,38000,2,1,3,1,1,2,1,2,0,0,12,4552,14,53,580,7,876,2,NaN,NaN,NaN,NaN,0,NaN,NaN,562
1,0,0,3,102000,3,1,1,1,1,1,1,2,2,1,23,438,1,35,554,5,746,1,NaN,NaN,NaN,NaN,0,NaN,NaN,542
1,0,0,3,40000,2,2,2,2,2,3,1,3,3,2,36,4102,25,51,549,5,686,1,NaN,NaN,NaN,NaN,0,NaN,0,510
1,0,0,3,29900,2,1,0,1,1,3,1,2,0,0,23,4125,2,49,572,6,876,1,NaN,NaN,NaN,NaN,0,NaN,0,648
1,0,0,1,90000,1,1,1,3,1,1,1,1,2,0,2,3946,47,570,474,5,911,1,NaN,NaN,NaN,NaN,0,NaN,NaN,547
1,0,0,4,20000,3,1,1,1,1,1,1,1,2,0,4,424,1,82,521,5,867,1,0,4,NaN,NaN,0,NaN,NaN,526
1,0,0,7,120000,1,1,0,1,0,2,1,2,0,0,11,4088,1,115,550,5,911,3,NaN,NaN,NaN,NaN,0,NaN,NaN,644
1,0,0,1,90000,1,1,0,1,0,1,1,1,0,0,8,3387,1,82,561,6,951,1,0,1,1,0,0,0,NaN,575
1,0,0,2,65000,2,1,1,1,2,1,1,2,2,0,2,316,2,122,554,8,873,1,NaN,NaN,NaN,NaN,0,NaN,NaN,558
1,0,0,0,57600,0,0,0,0,0,1,1,1,0,0,34,2284,3,176,606,5,NaN,1,NaN,NaN,NaN,NaN,0,NaN,0,663
1,0,0,12,33600,5,5,2,2,4,4,1,4,5,1,24,3350,6,34,491,8,629,2,NaN,NaN,NaN,NaN,0,NaN,0,545
1,0,0,1,63600,1,0,1,1,1,1,1,1,0,0,1,3835,4,98,546,6,951,1,NaN,0,NaN,NaN,1,NaN,0,557
1,0,0,0,40000,0,1,0,1,0,1,1,1,0,0,13,696,3,126,538,5,911,1,NaN,NaN,NaN,NaN,0,NaN,0,575
1,0,0,3,21804,0,1,0,1,0,1,1,1,0,0,14,4087,1,123,526,5,876,1,NaN,NaN,NaN,NaN,0,NaN,0,517
1,0,0,2,50000,2,1,0,1,1,1,1,1,0,2,2,3007,7,26,524,5,871,1,NaN,NaN,NaN,NaN,0,NaN,NaN,472
1,0,0,1,42000,1,1,1,1,1,1,1,1,0,0,32,941,22,42,537,5,951,1,NaN,NaN,NaN,NaN,0,NaN,NaN,511
1,0,0,1,51200,0,0,0,0,0,1,1,1,0,0,1,2549,3,72,562,6,NaN,1,NaN,NaN,NaN,NaN,0,NaN,0,551
1,0,1,3,33996,0,1,0,1,1,1,1,1,0,0,8,1784,5,77,535,5,897,1,NaN,NaN,NaN,NaN,0,NaN,NaN,564
1,0,0,NaN,49900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,4242,10,53,541,8,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN
1,0,0,NaN,33280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9002,3789,3,15,505,8,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,NaN,40000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58,3453,14,140,515,8,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,NaN,32000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9002,3121,1,38,526,8,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
1,0,0,3,72200,1,1,1,1,1,3,1,1,1,2,16,2079,16,25,540,8,812,2,NaN,NaN,NaN,NaN,0,NaN,0,492
1,0,0,5,81996,3,1,2,2,1,3,1,2,1,3,20,4084,8,22,566,8,696,2,NaN,0,NaN,NaN,0,NaN,0,533
1,0,0,6,67500,1,1,1,1,1,2,1,2,2,0,51,4131,15,24,493,8,911,2,NaN,NaN,NaN,NaN,0,NaN,NaN,534
1,0,0,2,35000,2,1,1,2,1,1,1,1,1,0,14,1075,7,42,554,8,890,1,NaN,NaN,NaN,NaN,0,NaN,NaN,551
1,0,0,6,15503,5,2,2,2,4,2,1,1,2,1,0,3999,19,19,507,6,659,1,NaN,NaN,NaN,NaN,0,NaN,NaN,516
1,0,0,10,34000,2,1,1,3,1,4,1,1,4,1,0,2911,6,11,484,8,703,2,NaN,NaN,NaN,NaN,0,NaN,NaN,508
1,1,0,4,50000,0,0,0,0,0,1,1,1,0,0,10,3880,1,51,516,8,951,1,NaN,NaN,NaN,NaN,0,NaN,NaN,603
1,0,0,9,45000,3,4,1,1,2,6,1,4,2,0,0,3216,1,92,530,7,715,2,NaN,NaN,NaN,NaN,0,NaN,NaN,527
1,0,0,5,46000,5,4,3,2,4,8,1,7,7,0,9002,3916,9,22,448,8,802,2,NaN,NaN,NaN,NaN,0,NaN,NaN,526
1,0,0,6,105000,0,0,0,0,0,1,1,1,0,0,2,3446,2,32,508,8,NaN,2,NaN,NaN,NaN,NaN,0,NaN,0,517
1,0,0,3,39540,1,1,0,1,0,2,1,2,0,0,11,2004,1,32,550,8,911,1,NaN,NaN,NaN,NaN,0,NaN,NaN,564
1,0,0,5,60000,2,1,0,1,0,2,1,1,0,0,9002,3248,42,16,526,8,876,2,NaN,NaN,NaN,NaN,0,NaN,NaN,515
1,0,0,4,11316,0,1,1,1,1,2,1,2,0,0,9002,2385,2,21,548,8,897,2,NaN,NaN,NaN,NaN,0,NaN,NaN,484
1,1,0,4,42000,2,2,1,2,1,1,1,1,1,0,9002,4556,9,14,488,8,741,2,NaN,NaN,NaN,NaN,0,NaN,NaN,513
1,0,0,3,49999,0,0,0,0,0,1,1,1,0,0,9002,1276,6,11,499,2,NaN,1,NaN,NaN,NaN,NaN,0,NaN,NaN,525
